psyllid,sex,variety,plant_number,d_probes,d_walks,d_cleans,d_off,i_probes,i_walks,i_cleans,i_off,file,plant_size,mins_away
60,m,4LB,8,265.6,17.1,227.45,0,1,1,1,0,4LB_p8_t1.csv,11,31
61,m,4LB,8,284.6,15.8,0,0,2,1,0,0,4LB_p8_t2.csv,11,44
62,f,4LB,8,269.9,30.9,0,0,4,3,0,0,4LB_p8_t3.csv,11,63
66,m,4LB,9,253,47,0,0,4,4,0,0,4LB_p9_t1.csv,15.5,34
67,f,4LB,9,300,0,202.47,0,1,0,3,0,4LB_p9_t2.csv,15.5,46
68,f,4LB,9,300,0,0,0,1,0,0,0,4LB_p9_t3.csv,15.5,56
17,m,RB,1,290.3,8,0,0,3,1,0,0,RB_p1_t1.csv,29,10
18,m,RB,2,300,0,0,0,1,0,0,0,RB_p2_t1.csv,29,13
51,m,RB,3,146.7,153.8,0,0,27,28,0,0,RB_p3_t1.csv,21.5,10
52,f,RB,3,246.2,58.5,0,0,6,5,0,0,RB_p3_t2.csv,21.5,22
53,f,RB,3,283,20.5,23.27,0,3,2,1,0,RB_p3_t3.csv,21.5,42
112,f,RB,4,300,0,0,0,1,0,0,0,RB_p4_t1.csv,13,72
113,m,RB,4,248.9,51.4,0,0,2,1,0,0,RB_p4_t2.csv,13,85
114,f,RB,4,227.1,74.7,0,0,5,5,0,0,RB_p4_t3.csv,13,12
115,f,RB,4,255.4,44.6,2.01,0,2,2,1,0,RB_p4_t4.csv,13,24
116,m,RB,4,289,11,0,0,1,1,0,0,RB_p4_t5.csv,13,32
117,f,RB,4,246.5,53.8,0,0,1,1,0,0,RB_p4_t6.csv,13,48
118,f,RB,4,260.7,40.3,0,3.72,3,2,0,1,RB_p4_t7.csv,13,58
119,f,RB,4,293.8,6.2,0,0,1,1,0,0,RB_p4_t8.csv,13,13
120,f,RB,5,278.2,9,0,0,2,1,0,0,RB_p5_t1.csv,18,21
121,m,RB,5,249,51.2,0,0,2,2,0,0,RB_p5_t2.csv,18,33
122,f,RB,5,300,0,0,0,1,0,0,0,RB_p5_t3.csv,18,32
123,m,RB,5,219.2,45.3,0,0,9,4,0,0,RB_p5_t4.csv,18,48
124,m,RB,5,275.2,25.2,0,0,3,2,0,0,RB_p5_t5.csv,18,23
125,f,RB,5,201.5,63.8,0,19.42,3,3,0,1,RB_p5_t6.csv,18,31
126,f,RB,5,229.6,72,0,0,8,7,0,0,RB_p5_t7.csv,18,43
127,f,RB,5,300,0,0,0,1,0,0,0,RB_p5_t8.csv,18,62
128,m,RB,5,295.2,4.3,0,0,1,1,0,0,RB_p5_t9.csv,18,11
129,m,RB,6,287,12.8,3.72,0,2,1,1,0,RB_p6_t1.csv,17,19
138,m,RB,6,300,0,0,0,1,0,0,0,RB_p6_t10.csv,17,67
130,f,RB,6,193.4,117.8,0,0,9,2,0,0,RB_p6_t2.csv,17,28
131,f,RB,6,300,0,0,0,1,0,0,0,RB_p6_t3.csv,17,41
132,m,RB,6,300,0,0,0,1,0,0,0,RB_p6_t4.csv,17,54
133,f,RB,6,196.5,118.7,0,14.39,10,4,0,1,RB_p6_t5.csv,17,10
134,m,RB,6,300,0,241.87,0,1,0,2,0,RB_p6_t6.csv,17,16
135,m,RB,6,300,0,0,0,1,0,0,0,RB_p6_t7.csv,17,25
136,f,RB,6,300,0,0,0,1,0,0,0,RB_p6_t8.csv,17,46
137,f,RB,6,230.2,56.7,0,0,5,4,0,0,RB_p6_t9.csv,17,54
139,f,RB,7,227.4,109,0,0,6,3,0,0,RB_p7_t1.csv,16.5,15
148,m,RB,7,300,0,0,0,1,0,0,0,RB_p7_t10.csv,16.5,41
149,m,RB,7,300,0,0,0,1,0,0,0,RB_p7_t11.csv,16.5,69
150,f,RB,7,270.7,27.5,0,0,3,1,0,0,RB_p7_t12.csv,16.5,16
151,f,RB,7,206.4,99.2,0,48.21,4,3,0,1,RB_p7_t13.csv,16.5,28
140,m,RB,7,300,0,0,0,1,0,0,0,RB_p7_t2.csv,16.5,25
141,f,RB,7,288.3,12.6,0,0,3,2,0,0,RB_p7_t3.csv,16.5,35
142,f,RB,7,282.5,20.2,0,0,2,1,0,0,RB_p7_t4.csv,16.5,44
143,f,RB,7,290.4,11,74.46,0,2,1,2,0,RB_p7_t5.csv,16.5,51
144,f,RB,7,300,0,0,0,1,0,0,0,RB_p7_t6.csv,16.5,58
145,m,RB,7,300,0,70.72,0,1,0,1,0,RB_p7_t7.csv,16.5,67
146,m,RB,7,300,0,0,0,1,0,0,0,RB_p7_t8.csv,16.5,24
147,f,RB,7,130.6,172.2,0,0,6,4,0,0,RB_p7_t9.csv,16.5,31
