file,plant_number,i_probes,i_walks,i_cleans,i_off,psyllid,mins_away,sex,variety,plant_size
4LB_p17_t1.csv,17,1,1,0,0,103,11,f,4LB,18.5
4LB_p17_t2.csv,17,1,1,0,0,104,24,f,4LB,18.5
4LB_p17_t3.csv,17,1,0,3,0,105,36,m,4LB,18.5
4LB_p18_t1.csv,18,1,0,1,0,106,42,f,4LB,22.5
4LB_p18_t2.csv,18,3,3,0,0,107,59,f,4LB,22.5
4LB_p18_t3.csv,18,1,0,0,0,108,13,f,4LB,22.5
4LB_p2_t1.csv,2,1,0,1,0,23,52,m,4LB,32
4LB_p2_t2.csv,2,2,2,0,1,24,10,m,4LB,32
4LB_p3_t1.csv,3,2,1,0,0,30,75,m,4LB,33
4LB_p3_t2.csv,3,1,0,1,0,31,10,f,4LB,33
4LB_p4_t1.csv,4,1,0,1,0,47,34,f,4LB,16
4LB_p5_t1.csv,5,1,0,3,0,48,46,f,4LB,21
4LB_p6_t1.csv,6,2,1,2,0,49,58,m,4LB,20.5
4LB_p7_t1.csv,7,2,2,0,0,50,78,f,4LB,25
4LB_p8_t1.csv,8,1,1,1,0,60,31,m,4LB,11
4LB_p8_t2.csv,8,2,1,0,0,61,44,m,4LB,11
4LB_p8_t3.csv,8,4,3,0,0,62,63,f,4LB,11
4LB_p9_t1.csv,9,4,4,0,0,66,34,m,4LB,15.5
4LB_p9_t2.csv,9,1,0,3,0,67,46,f,4LB,15.5
4LB_p9_t3.csv,9,1,0,0,0,68,56,f,4LB,15.5
RB_p1_t1.csv,1,3,1,0,0,17,10,m,RB,29
RB_p2_t1.csv,2,1,0,0,0,18,13,m,RB,29
RB_p3_t1.csv,3,27,28,0,0,51,10,m,RB,21.5
RB_p3_t2.csv,3,6,5,0,0,52,22,f,RB,21.5
RB_p3_t3.csv,3,3,2,1,0,53,42,f,RB,21.5
RB_p4_t1.csv,4,1,0,0,0,112,72,f,RB,13
RB_p4_t2.csv,4,2,1,0,0,113,85,m,RB,13
RB_p4_t3.csv,4,5,5,0,0,114,12,f,RB,13
RB_p4_t4.csv,4,2,2,1,0,115,24,f,RB,13
RB_p4_t5.csv,4,1,1,0,0,116,32,m,RB,13
RB_p4_t6.csv,4,1,1,0,0,117,48,f,RB,13
RB_p4_t7.csv,4,3,2,0,1,118,58,f,RB,13
